
ID,Nome,Categoria,Validade,Quantidade,Preço,CodigoBarras
1,Arroz Tipo 1 5kg,Mercearia,10/03/2025,35,25.90,7891234567001
2,Feijão Carioca 1kg,Mercearia,15/01/2025,40,8.50,7891234567002
3,Açúcar Refinado 1kg,Mercearia,20/06/2025,50,5.20,7891234567003
4,Café em Pó 500g,Mercearia,15/04/2025,30,12.90,7891234567004
5,Macarrão Espaguete 500g,Mercearia,05/05/2025,25,4.80,7891234567005
6,Óleo de Soja 900ml,Mercearia,12/02/2025,20,7.90,7891234567006
7,Farinha de Trigo 1kg,Mercearia,18/03/2025,28,6.40,7891234567007
8,Sal Refinado 1kg,Mercearia,30/09/2025,60,3.10,7891234567008
9,Milho para Pipoca 500g,Mercearia,22/07/2025,18,4.50,7891234567009
10,Azeitona Verde 200g,Mercearia,10/10/2025,15,9.90,7891234567010
11,Extrato de Tomate 340g,Mercearia,08/03/2025,22,4.70,7891234567011
12,Molho de Tomate 340g,Mercearia,14/04/2025,26,3.90,7891234567012
13,Leite em Pó 400g,Mercearia,01/12/2025,12,18.50,7891234567013
14,Achocolatado em Pó 400g,Mercearia,25/08/2025,16,11.20,7891234567014
15,Biscoito Cream Cracker 400g,Mercearia,19/06/2025,34,7.30,7891234567015
16,Biscoito Recheado Chocolate 140g,Mercearia,03/05/2025,40,3.80,7891234567016
17,Farofa Pronta 500g,Mercearia,27/09/2025,14,8.60,7891234567017
18,Maionese 500g,Mercearia,06/04/2025,18,9.40,7891234567018
19,Ketchup 400g,Mercearia,13/07/2025,20,7.10,7891234567019
20,Mostarda 200g,Mercearia,11/11/2025,20,5.60,7891234567020
